timestamp,rubro,tamano,tama_o,aumento_salarial_2025_pct,cantidad_aumentos_2025,aumento_acumulado_2025,indicador_aumentos,otro_indicador,prevision_incorporacion,prevision_reduccion,rotacion_2025_pct,salario_ceo,"👤 ASISTENTE DE GERENTE GENERAL: Responsabilidad de llevar agenda laboral del Gerente General y su equipo de gerentes / directores. Gestionar y atender llamadas, correos, correspondencia, participación de eventos, etc. Participar de las reuniones de directorio, armar presentaciones, gestionar sala y equipos. Coordinar viajes, pasajes, traslados y estadías [Escribir el SUELDO BRUTO MENSUAL ej. 100000 sin puntos ni comas / En caso de no tener alguna posición similar en la empresa escribir el valor -> 0]",salario_director_comercial,salario_gerente_ventas,salario_jefe_ventas,salario_ejecutivo_ventas,salario_analista_ecommerce,salario_analista_facturacion,salario_gerente_marketing,salario_jefe_marketing,salario_analista_marketing,salario_gerente_comex,salario_responsable_comex,salario_asistente_comex,salario_atencion_cliente,salario_jefe_hospitalidad,salario_guia_turismo,salario_jefe_alimentos_bebidas,salario_chef_ejecutivo,salario_jefe_salon,salario_gerente_ops_hotel,salario_jefe_recepcion_hotel,salario_recepcionista_hotel,salario_concierge,salario_director_admin_finanzas,salario_gerente_admin_conta,salario_jefe_admin_conta,salario_analista_contabilidad,salario_jefe_impuestos,salario_analista_impuestos,salario_jefe_finanzas,salario_analista_cuentas_pagar,salario_empleado_administrativo,salario_jefe_creditos_cobranzas,salario_analista_cobranzas,salario_jefe_control_gestion,salario_analista_control_gestion,salario_auditor_interno,salario_recepcionista,salario_director_operaciones,salario_gerente_planta,salario_jefe_produccion,salario_ingeniero_procesos,salario_supervisor_produccion,salario_analista_produccion,salario_gerente_enologia,salario_jefe_bodega,salario_supervisor_bodega,salario_gerente_agricola,salario_ingeniero_agronomo,salario_supervisor_fincas,salario_jefe_laboratorio,salario_analista_laboratorio,salario_gerente_supply_chain,salario_jefe_planificacion,salario_jefe_logistica,salario_analista_logistica,salario_supervisor_depositos,salario_gerente_compras,salario_jefe_compras,salario_comprador_analista,salario_gerente_mantenimiento,salario_jefe_mantenimiento,salario_supervisor_mantenimiento,salario_tecnico_mantenimiento,salario_gerente_calidad,salario_jefe_calidad,salario_analista_calidad,salario_tecnico_calidad,salario_diseñador_grafico,salario_responsable_sustentabilidad,salario_gerente_seguridad,salario_jefe_seguridad,salario_tecnico_seguridad,salario_jefe_ingenieria,salario_ingeniero_proyectos,salario_asistente_proyecto,salario_jefe_obra,salario_supervisor_obra,salario_director_rrhh,salario_gerente_rrhh,salario_jefe_rrhh,salario_responsable_liquidacion,salario_analista_admin_personal,salario_jefe_seleccion,salario_analista_seleccion,salario_analista_capacitacion,salario_director_it,salario_gerente_it,salario_jefe_desarrollo,salario_programador,salario_analista_funcional,salario_jefe_redes,salario_tecnico_redes,salario_jefe_soporte,salario_analista_helpdesk,salario_joven_profesional,salario_pasante,🎁 Bonus GERENTE GENERAL (Los bonus estan expresados en cantidad de sueldos mensuales),bonus_directores,bonus_gerentes,bonus_jefes,bonus_supervisores,bonus_analistas,benef_medicina_prepaga,benef_reintegro_medicamentos,benef_prestamos,benef_almuerzo,benef_gimnasio,benef_gift_card,benef_red_descuentos,benef_descuento_productos,benef_combustible,benef_cochera,benef_auto_gerentes,benef_auto_vendedores,benef_gastos_auto,benef_tarjeta_credito,benef_colegio,benef_pension,benef_pago_dolares,benef_posgrados,benef_coaching,benef_idiomas,benef_internet,benef_vacaciones_adicionales,benef_home_office,benef_dia_flex,benef_cumpleanos,benef_maternidad,benef_paternidad,benef_after_office,benef_integracion,comentarios_beneficios,sugerencias_puestos,comentarios_generales,categoria_tamano,rubro_corto
##########,Otro Rubro,#ERROR!,Grandes,31 - 35%,7,15%,Mismo % que se negocie con el gremio (paritarias),0,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,,2.600.000,,,,,1704000.0,1622000.0,,2600000.0,1622000.0,,,,1504000.0,,,,,,,,,,,,2600000.0,1622000.0,,,,1622000.0,1210000.0,2900000.0,1504000.0,2118000.0,1622000.0,2600000.0,1210000.0,,,2600000.0,,,,,,,,,,,,,,,,,,2918000.0,1504000.0,,,,,,,,,1504000.0,,,,,3012000.0,,2113000.0,,,,,2600000.0,2600000.0,1800000.0,2600000.0,1800000.0,1800000.0,,,,2600000.0,2100000.0,2600000.0,1504000.0,,1504000.0,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores y Gerentes,No,En análisis / desarrollo,Si,No,No,No,Si,No,No,No,Si,Si,Si,No,No,No,Si,Si,Si,No,No,No,Si,Si,No,No,No,Si,"regalos corporativos por días festivos, regalos por nacimiento de hijo",,,Otro,Otro Rubro
##########,Vitivinícola,#ERROR!,Grandes,26 - 30%,2,12%,IPC Nacional,"Nosotros no tomamos un solo item, consideramos IPC nacional y encuestas",No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,19722471.0,2.190.692,15931249.0,7434653.0,2910024.0,2444644.0,,1560065.0,10066860.0,4337799.0,2616676.0,8900000.0,,1771903.0,,2247636.0,1219609.0,1619046.0,2713264.0,1619046.0,4929860.0,,1219609.0,,13712309.0,,3216562.0,1370925.0,,,,1506899.0,1187048.0,3567749.0,1623404.0,,2541500.0,,,12507441.0,6523965.0,2775007.0,3300000.0,2900000.0,,7397692.0,3086797.0,2021740.0,7181893.0,2853125.0,1716067.0,1577184.0,1269576.0,,3400000.0,3243351.0,2077107.0,2016361.0,5928108.0,3677411.0,1463350.0,5704800.0,2563135.0,2195811.0,,5080753.0,2600000.0,1289818.0,,,5826222.0,5826222.0,2527189.0,1800000.0,,,,,,,7986906.0,3620248.0,2312104.0,,3286692.0,1813199.0,,,,,,,1813199.0,1587266.0,,,,,4 sueldos,4 sueldos,3 sueldos,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,No,Si,Si,Si,No,Si,Si,No,Si,No,Si,Si,No,No,No,No,Si,Si,No,Si,Si,No,No,No,No,No,Si,"Dia de la familia, canasta navideña,",,,Otro,Vitivinícola
##########,Comercio,#ERROR!,Grandes,31 - 35%,10,18%,Mismo % que se negocie con el gremio (paritarias),.,"Si, a lo largo de todo el año",No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,,0,,,,,1700000.0,1500000.0,,3500000.0,2000000.0,,,,,,,,,,,,,,,7000000.0,3500000.0,1500000.0,3000000.0,1500000.0,3500000.0,1500000.0,1000000.0,,,,,,,,6000000.0,3000000.0,3000000.0,2000000.0,,,,,,,,,,,,,,,,4500000.0,3000000.0,,4000000.0,3000000.0,2000000.0,,3000000.0,1500000.0,,,,,3500000.0,2500000.0,,3500000.0,,,2500000.0,,4500000.0,,3000000.0,1500000.0,2500000.0,1500000.0,1500000.0,,4500000.0,3500000.0,2000000.0,1500000.0,3500000.0,,2500000.0,,,500000.0,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores y Gerentes,No,Si,No,No,Si,No,Si,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,incluiria el área de seguridad en la empresa en nuestro cas tenemos parta en la nomina de la empresa y el resto tercerizada pero estaria bueno poder compaarlo,0,Otro,Comercio
##########,Vitivinícola,#ERROR!,Grandes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),No esta definido todavía,12%,Tomamos otro indicador / parámetro para dar los aumentos (indicar abajo),IPC + encuestas salariales + Resultados de negocio,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,"Si, a lo largo de todo el año",6 - 10 %,,0,16490000.0,6720000.0,4600200.0,,,1764800.0,9053780.0,3253801.0,1949568.0,,,1795898.0,,3107765.0,1560000.0,,,,,,,,16490000.0,5674000.0,2892421.0,1932670.0,2808911.0,1932400.0,2892350.0,,1441236.0,,,3077230.0,2436700.0,,,,5555000.0,3487488.0,1600000.0,2300900.0,,8807500.0,4521340.0,2470895.0,5888137.0,2949650.0,1856235.0,2491726.0,1232000.0,5163254.0,2702909.0,2286390.0,1075000.0,2175955.0,,,2693000.0,,3871881.0,2408176.0,,,3598424.0,1350000.0,,2611598.0,,,3428663.0,1359000.0,,2307154.0,,,,,6450324.0,3500555.0,,1420560.0,,1800930.0,,,,,,,,,,,1590000.0,,No tenemos asignado bonus a este nivel jerárquico,6 sueldos,4 sueldos,"2,5 sueldos",1 sueldo,1 sueldo,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,Si,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,No,No,Si,Si,Si,No,No,Si,Si,No,Si,Si,Si,Si,0,,aumentar cantidad de bonus (sueldos) para posicion de director y gerente,Otro,Vitivinícola
##########,"Energía, Petroleo, Minería, Servicios relacionados",#ERROR!,Grandes,31 - 35%,4,20%,Mismo % que se negocie con el gremio (paritarias),1,"Si, a lo largo de todo el año",No tenemos previsto reducir puestos fuera de convenio en 2025,11 - 15%,,1.300.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700000.0,,,7000000.0,,4000000.0,2300000.0,4000000.0,,,,,,,,,,,,,,3 sueldos,3 sueldos,3 sueldos,3 sueldos,3 sueldos,3 sueldos,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,Si,Si,Si,No,No,No,No,Si,No,No,Si,Si,No,No,No,Si,Si,Si,No,No,Si,Si,Si,Si,Si,Si,Si,na,,no,Otro,Energía y Minería
##########,Comercio,201 - 500 empleados,Grandes,16 - 20 %,6,12%,Mismo % que se negocie con el gremio (paritarias),Categoría Interna,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,,0,,,2800000.0,,,1500000.0,,,1500000.0,,,,1600000.0,,,,,,,,,,,,,1600000.0,,1600000.0,2800000.0,1600000.0,1300000.0,,1600000.0,3360000.0,1600000.0,1300000.0,1400000.0,,,2500000.0,,,,,,,,,,,,,2000000.0,,1600000.0,2400000.0,,3300000.0,1600000.0,2800000.0,,,1800000.0,,2000000.0,1700000.0,,,,,2700000.0,,,,,,,,2880000.0,,,1800000.0,,1600000.0,,,3300000.0,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores - Gerentes - Jefes,No,Si,No,No,Si,Si,Si,No,No,Si,No,Si,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,Si,No,0,0,0,Grande,Comercio
##########,Industria,201 - 500 empleados,Grandes,21 - 25%,4,> 20%,IPC Nacional,Ninguno,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,28963166.0,0,20639884.0,14201966.0,7511455.0,6375779.0,,1365178.0,,,,11386630.0,4234628.0,3365178.0,,,,,,,,,,,18103908.0,18025915.0,6748512.0,3651985.0,7841752.0,3679928.0,7781209.0,2255016.0,,4907836.0,3017812.0,7589531.0,4388948.0,,,20662744.0,17886988.0,9247618.0,5263501.0,5980016.0,5821269.0,,,,,,,4691770.0,3727241.0,20442635.0,9158868.0,5689882.0,5460378.0,5301188.0,5617199.0,,5750132.0,9203231.0,,5812716.0,,,,,,,13719142.0,5882050.0,,2632656.0,9132950.0,3888550.0,,,,18494404.0,,10161826.0,4459588.0,,,,,16904238.0,,5004970.0,4565483.0,,,,4537331.0,,1932420.0,738300.0,6 sueldos,4 sueldos,3 sueldos,2 sueldos,1 sueldo,1 sueldo,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,Si,Si,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Ninguno,Ninguno,Por el momento no. Gracias.,Grande,Industria
##########,Industria,201 - 500 empleados,Grandes,21 - 25%,9,15%,Mismo % que se negocie con el gremio (paritarias),IPC NACIONAL,"Si, a lo largo de todo el año",No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,9800000.0,0,5600000.0,,,,,1480000.0,,,,,,1820000.0,,,,,,,,,,,,5600000.0,3640000.0,1570400.0,2100000.0,,2230000.0,1476700.0,1292140.0,,1470000.0,,,2270000.0,,7100000.0,,3300000.0,,1821005.0,1407500.0,,,,7500000.0,2850000.0,1821500.0,2480000.0,,,2350000.0,2200000.0,1573400.0,1407500.0,,,1821500.0,,3350000.0,2420000.0,1821500.0,,2590000.0,1821500.0,1290000.0,,,,2450000.0,,,,,,,,,2450000.0,,1573407.0,,,,,,,,,,,,,,,3 sueldos,4 sueldos,3 sueldos,2 sueldos,2 sueldos,1 sueldo,NO otorgamos el beneficio de Medicina Prepaga a ningún empleado,No,Si,Si,No,No,No,En análisis / desarrollo,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,En análisis / desarrollo,No,No,No,No,-,,,Grande,Industria
##########,Construcción,201 - 500 empleados,Grandes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),No esta definido todavía,8%,Mismo % que se negocie con el gremio (paritarias),No,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,,0,,,3000000.0,,,1800000.0,,,,,,,,,,,,,,,,,,,3000000.0,1800000.0,,,,1800000.0,,,,,1800000.0,,,,4900000.0,3800000.0,,2300000.0,,,,,,,,,,,,2500000.0,,,,4600000.0,1900000.0,,2500000.0,,1500000.0,,3000000.0,,2200000.0,,,,3000000.0,2200000.0,4200000.0,,2200000.0,3900000.0,2800000.0,,,3000000.0,,1700000.0,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,Si,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Grande,Construcción
##########,"Gastronomía, Hotelería y Turismo",201 - 500 empleados,Grandes,16 - 20 %,3,10%,Mismo % que se negocie con el gremio (paritarias),.,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,"Si, a lo largo de todo el año",1 - 5 %,11635500.0,0,,,,,,,,,,,,,,,,2580000.0,4700000.0,2170000.0,4700000.0,2343000.0,1836000.0,1689500.0,5077000.0,3202000.0,,1914000.0,,1579000.0,,1628000.0,,1608000.0,1608000.0,,,2195000.0,,,,,,,,,,,,,,,,,,,,,,2825000.0,1517000.0,4700000.0,,2215000.0,,,,,,,,,,,,,,,,5077000.0,,,2825000.0,1559000.0,2825000.0,,1559000.0,,3960000.0,,,,,,1840000.0,1292600.0,,,4 sueldos,4 sueldos,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores - Gerentes - Jefes,No,No,Si,Si,No,Si,Si,No,No,Si,No,No,Si,No,Si,No,Si,En análisis / desarrollo,Si,Si,No,Si,No,Si,No,Si,Si,Si,0,0,.,Grande,Gastronomía y Turismo
